"transactionAmount","expenseCategory","textNote","transactionDate","transactionMonth","transactionYear"
"3500","Food","Brunch","5","January","2024"
"3200","Travel","Daily Commute","10","January","2024"
"1000","Rent","Monthly Rent","15","January","2024"
"2500","Investment","Savings","20","January","2024"
"700","Tax","GST + IT + Others","25","January","2024"
"3700","Food","Brunch","5","February","2024"
"3000","Travel","Daily Commute","10","February","2024"
"5000","Rent","Monthly Rent","15","February","2024"
"2000","Investment","Savings","20","February","2024"
"1000","Tax","GST + IT + Others","25","February","2024"
"4000","Food","Brunch","5","March","2024"
"2800","Travel","Daily Commute","10","March","2024"
"6000","Rent","Monthly Rent","15","March","2024"
"1200","Investment","Savings","20","March","2024"
"1000","Tax","GST + IT + Others","25","March","2024"
"3900","Food","Brunch","5","April","2024"
"3400","Travel","Daily Commute","10","April","2024"
"6500","Rent","Monthly Rent","15","April","2024"
"1800","Investment","Savings","20","April","2024"
"1400","Tax","GST + IT + Others","25","April","2024"
"3300","Food","Brunch","5","May","2024"
"2000","Travel","Daily Commute","10","May","2024"
"7000","Rent","Monthly Rent","15","May","2024"
"1700","Investment","Savings","20","May","2024"
"900","Tax","GST + IT + Others","25","May","2024"
"3090","Food","Brunch","5","June","2024"
"2600","Travel","Daily Commute","10","June","2024"
"7500","Rent","Monthly Rent","15","June","2024"
"1900","Investment","Savings","20","June","2024"
"1000","Tax","GST + IT + Others","25","June","2024"
"4200","Food","Brunch","5","July","2024"
"2800","Travel","Daily Commute","10","July","2024"
"8000","Rent","Monthly Rent","15","July","2024"
"2000","Investment","Savings","20","July","2024"
"1400","Tax","GST + IT + Others","25","July","2024"
